"行类型","类别","器件","建议规格/型号","数量","计入基础预算","全新参考价下限_元","全新参考价上限_元","二手参考价下限_元","二手参考价上限_元","二手购买建议","验货重点","价格依据","来源链接","估价日期","备注"
"器件","飞行平台","Holybro X500 V2 PX4 Development Kit","Pixhawk 6C + M10 GPS + 433MHz SiK 数传；含机架、电机、电调、桨、配电板","1 套","是","3800","4600","2300","3300","可以二手","核对飞控型号；读取飞行日志；检查机臂裂纹、电机轴承、电调焊点、GPS 和数传；确认无严重炸机史","官方标价 532.99 美元，按 1 美元约 6.795 元折合约 3622 元；区间加入国内渠道、运费和售后差异","https://holybro.com/products/px4-development-kit-x500-v2","2026-07-29","电池、遥控器和接收机不包含在套件内；433MHz 版本需确认当地无线电合规要求"
"器件","动力电源","4S LiPo 飞行电池","5000mAh、20C 以上、XT60","2 块","是","600","1000","250","500","不建议二手","必须测单节压差和内阻；检查鼓包、磕碰、插头发热痕迹；询问循环次数和存储电压","X500 官方建议 4S 3000–5000mAh、20C 以上；价格为国内常见品牌新品及二手估算","https://holybro.com/products/px4-development-kit-x500-v2","2026-07-29","二手价仅用于比较；安全优先时直接买新"
"器件","充电设备","LiPo 平衡充电器","ToolkitRC C4 或同级；支持 2–4S、平衡充电、约 50W","1 台","是","180","280","90","180","可以二手","通电测试各通道；检查平衡口、风扇、温升和输出电压；拒绝维修史不明设备","ToolkitRC C4 官方 25.99–26.79 美元，人民币区间加入国内渠道差异","https://www.toolkitrc.com/product/c4/","2026-07-29","若要同时充两块或更快充电，可升级双通道充电器，预算另加约 300–700 元"
"器件","人工接管","遥控器与接收机","RadioMaster TX12 MKII ELRS + RP3 V2 2.4GHz 接收机","1 套","是","850","1100","500","750","推荐二手","检查摇杆中位和抖动、开关、天线、USB、ELRS 绑定及接收机遥测；确认频段和固件区域","TX12 MKII ELRS 官方 109.99 美元，RP3 V2 官方 19.99 美元","https://www.radiomasterrc.com/products/tx12-mark-ii-radio-controller | https://www.radiomasterrc.com/products/rp3-expresslrs-2-4ghz-nano-receiver","2026-07-29","接收机通过 CRSF/UART 接飞控时需按 PX4 文档配置；首飞必须保留人工接管"
"器件","人工接管","遥控器电池","2×18650 保护型电芯或 TX12 兼容电池包","1 组","是","70","130","30","70","更建议买新","检查容量、内阻、外皮和一致性；不要混用不同品牌或不同老化程度电芯","国内常见零售估算","https://www.radiomasterrc.com/products/tx12-mark-ii-radio-controller","2026-07-29","TX12 本体通常不含电池"
"器件","机载计算","Raspberry Pi 4B 4GB","4GB 内存版本；散热片或小型风扇","1 台","是","650","850","320","500","推荐二手","核对内存容量；跑 CPU、内存、USB、CSI、Wi-Fi 压力测试；检查供电欠压记录和接口损伤","2026 年官方多轮内存涨价后，Pi 4 4GB 名义价格约 100 美元；人民币区间考虑国内渠道","https://www.raspberrypi.com/news/a-new-3gb-raspberry-pi-4-for-83-75-and-more-memory-driven-price-increases/","2026-07-29","本 Demo 做低频单帧 CNN，无需 Jetson；如果已有 Pi 4，可直接复用"
"器件","视觉","Raspberry Pi Camera Module 3 Standard","IMX708、标准视场、自动对焦","1 个","是","180","260","100","170","可以二手","检查 CSI 排线座、自动对焦、坏点、灰尘和镜头划伤；实际采集一段视频","标准视场版本官方起价 25 美元","https://www.raspberrypi.com/products/camera-module-3/","2026-07-29","普通室外/室内可见光 Demo 选 Standard，不必购买 Wide 或 NoIR"
"器件","存储","microSD 卡","64GB、A2、耐久型优先","1 张","是","50","90","20","45","不建议二手","用全盘读写工具查实际容量、坏块和速度；来源不明的卡直接排除","国内常见零售估算","https://www.raspberrypi.com/documentation/computers/getting-started.html","2026-07-29","二手存储介质节省很少且故障隐蔽，建议买新"
"器件","机载供电","独立 UBEC","4S 输入，稳定 5.1V/5A 输出，给树莓派独立供电","1 个","是","60","150","20","80","更建议买新","带载测 5V 电压、纹波和温升；检查焊点；不要只做空载测试","PX4 官方树莓派伴随计算机文档要求独立供电，价格为国内常见 UBEC 估算","https://docs.px4.io/main/en/companion_computer/pixhawk_rpi","2026-07-29","不要从 Pixhawk TELEM 口给树莓派供电"
"器件","机载供电","供电线束与保险","XT60/XT30 分线、保险丝、开关、短 USB-C 线","1 套","是","40","100","0","40","建议买新或自制","核对极性；拉力测试；带载检查接头温升；确认保险丝额定值","国内接插件和线材估算","https://docs.px4.io/main/en/companion_computer/pixhawk_rpi","2026-07-29","旧线材无明显复用价值；焊接后必须做短路检查"
"器件","通信","飞控—树莓派串口线","Pixhawk TELEM2 对应 JST-GH 线；只接 TX、RX、GND","1 根","是","20","50","10","30","可以买二手","万用表确认线序和导通；上电前再次核对 TX/RX/GND；禁止接 5V 给树莓派供电","PX4 官方连接说明和国内线材估算","https://docs.px4.io/main/en/companion_computer/pixhawk_rpi","2026-07-29","不同飞控接口线序可能不同，不要按线色猜测"
"器件","安装结构","树莓派与相机安装件","M2.5 铜柱、减振垫、相机支架、保护罩","1 套","是","50","150","20","80","可以二手","确认无裂纹；避免遮挡 GPS 和天线；检查重心和螺丝防松","X500 V2 平台板支持 Raspberry Pi/Jetson 安装，价格为通用安装件估算","https://holybro.com/products/px4-development-kit-x500-v2","2026-07-29","可先 3D 打印简单支架，不需要云台"
"器件","易损备件","1045 备用桨","与原机旋向和孔位匹配，至少正反桨各 2 对","1 批","是","60","140","0","50","不要买已使用桨","检查白化、缺口、弯曲、根部裂纹和平衡；有碰撞史直接报废","X500 套件采用 1045 桨，价格为国内备件估算","https://holybro.com/products/px4-development-kit-x500-v2","2026-07-29","CSV 中二手价仅表示整套二手设备可能附送，不建议单独购买旧桨"
"器件","安全用品","电池检测与防火用品","蜂鸣电压计/电池内阻仪、LiPo 防火袋","1 套","是","70","160","30","80","检测仪可二手，防火袋买新","校验电压读数；检查防火袋破损和拉链；确保电池运输和充电有人看守","国内常见零售估算","","2026-07-29","强烈建议纳入首批采购"
"器件","耗材","装配耗材","扎带、热缩管、螺纹胶、双面胶、备用插头","1 批","是","50","120","0","0","买新","检查胶和螺纹胶有效期；热缩管尺寸匹配","国内常见零售估算","","2026-07-29","不要把高强度永久螺纹胶用于需要维护的螺丝"
"可选器件","室内定位","光流与测距模块","PX4 兼容光流 + 下视测距","1 套","否","600","1500","300","900","可以二手","检查镜头、测距稳定性、接口和 PX4 驱动支持；实测定点漂移","室内无 GPS 时的可选配置，价格依具体传感器差异较大","https://docs.px4.io/main/en/sensor/optical_flow.html","2026-07-29","室外有可靠 GPS 的首版 Demo 可以不买；室内飞行则应优先解决定位，不能只靠 CNN"
"汇总","预算","全新基础方案合计","以上计入基础预算的器件全部购买全新","1 套","—","6730","9180","","","—","—","按各器件全新价格区间求和","","2026-07-29","不含电脑、工具、运费偏远附加、场地、保险及可选光流/测距"
"汇总","预算","全部按二手价估算","仅作价格下界比较，不代表推荐采购方式","1 套","—","","","3690","5875","不推荐照此采购","飞行电池、桨、存储卡、关键供电线材不应为了省钱而盲目买旧","按各器件二手区间求和","","2026-07-29","部分耗材二手价按 0 元计，实际仍需购买新品"
"汇总","预算","推荐混合方案合计","X500 套件、遥控器、树莓派、相机和充电器可验机后二手；电池、桨、microSD、供电与耗材买新","1 套","—","","","4350","6920","最推荐","二手核心设备必须当面或视频验机；安全相关低价件直接买新","按推荐的新旧组合求和","","2026-07-29","适合只做悬停—识别—低速前飞 Demo；建议另留 10% 机动预算"
