序号,套件及建议规格,主要用处,二手建议,参考价格（元）,购买验收重点
1,"Holybro X500 V2开发套件，含Pixhawk 6C、PM02 V3、M10 GNSS、433MHz SiK数传、电机、ESC、机架和桨","无人机飞行平台和PX4控制核心","可以二手，但必须验机","二手2300-3300；新品3800-4600","核对Pixhawk 6C和完整装箱清单；读取飞行日志；检查机臂裂纹、电机轴承、电调焊点、GPS和数传；确认无严重炸机史"
2,"Raspberry Pi 4B 4GB，含散热片或小型风扇","运行Picamera2和轻量CNN；向任务状态机返回识别结果","推荐二手","二手320-500；新品650-850","核对4GB内存；运行CPU、内存和USB压力测试；测试CSI相机口、Wi-Fi及串口；检查是否频繁欠压或异常重启"
3,"Raspberry Pi Camera Module 3 Standard，含CSI排线","悬停阶段采集单帧图像，用于CNN分类","可以二手，但需验机","二手100-170；新品180-260","测试自动对焦、坏点、画面噪声和连续采集；检查镜头划伤、灰尘、排线和CSI插座；普通Demo无需Wide或NoIR版本"
4,"64GB A2或高耐久microSD卡","安装Raspberry Pi OS、模型和程序；保存少量测试图像与日志","建议新品","新品50-90","用全盘读写工具检查真实容量、坏块和速度；来源不明的二手卡直接排除；重要日志及时备份"
5,"4S输入、稳定5.1V/5A输出的独立UBEC，含保险、XT60/XT30分线和短USB-C供电线","给树莓派独立供电，避免飞控端口过载或机载计算机掉电","建议新品","新品100-250","带载测试输出电压、纹波和温升；核对极性和保险丝；拉力检查焊点与接头；不要从Pixhawk TELEM口给树莓派供电"
6,"RadioMaster TX12 MKII ELRS、RP3 V2接收机及遥控器电池","人工接管、紧急停飞和失控保护","可以二手","二手500-750；新品850-1100","检查摇杆中位与抖动、开关、天线、USB和电池；实测ELRS绑定、接收距离及遥测；确认频段、固件区域和PX4的CRSF/UART配置"
7,"4S 5000mAh、20C以上、XT60航模锂电池2块","为X500和机载设备提供飞行动力","不建议二手","新品合计600-1000","检查尺寸、重量和插头；到货后测单节压差、内阻和带载温升；排除鼓包、磕碰和插头烧蚀；低温使用需重新验证续航"
8,"支持4S平衡充电的充电器、防火袋和电池电压检测器；ToolkitRC C4或同级","安全充电、存储充电和检查电池状态","充电器可二手；防火袋建议新品","二手和新品混合160-340；全新品250-440","通电测试平衡口、各节电压、温升和输出功率；确认具有存储充电功能；防火袋不得破损；充电期间必须有人看守"
9,"Pixhawk TELEM2对应JST-GH串口线","连接飞控与树莓派，通过MAVLink交换状态和任务指令","可以买二手，也可自制","二手10-30；新品20-50","用万用表核对线序和导通；只连接TX、RX和GND；上电前再次确认极性，不要按线色猜测"
10,"树莓派与相机安装件，含M2.5铜柱、减振垫、相机支架和保护罩","把机载计算机和相机固定到X500平台板并控制振动","可以二手或3D打印","二手20-80；新品50-150","确认支架无裂纹和松动；相机视野不被桨或机架遮挡；避免遮挡GPS和天线；装机后重新检查重心"
11,"1045正反备用桨、减振件、连接器、扎带、热缩管、螺纹胶和备用插头","首飞调试、现场维修和易损件替换","桨和耗材建议新品","新品合计150-350","桨的旋向、孔位和尺寸必须与X500匹配；排除白化、缺口、弯曲和根部裂纹；螺丝防松后仍应便于维护"
12,"PX4兼容光流和下视测距模块，可选","室内或GNSS不可靠环境下辅助定点悬停","可以二手，但必须实测","二手300-900；新品600-1500","检查镜头、测距稳定性、接口和PX4驱动支持；实际飞行前先做地面数据检查；室外GNSS可靠的首版Demo可以不买"
13,"基础方案预算汇总，不含可选光流/测距、电脑、工具、场地和保险","确定首版悬停—识别—低速前飞Demo的采购上限","推荐X500、遥控器、树莓派和相机验机后二手；电池、桨、microSD和供电件买新","推荐混合采购约4300-6900；全部新品约6700-9100","二手整机尽量当面或视频验机；首飞前完成无桨通电、传感器校准、失控保护、人工接管和低高度悬停测试；另留约10%机动预算"
