stem,frame_id,temporal_block,split,status,exclude_reason,source_image_path,source_annotation_path,source_mask_path,source_mask_scope,yolo_image_path,yolo_label_path,ego_track_count,total_track_count,switch_count,polygon_points,polygon_area_px,tags
nlb_spring_000001,1,0,train,usable,,images/nlb_spring_000001.png,annotations/nlb_spring_000001.json,masks/nlb_spring_000001.png,all_tracks,images/train/nlb_spring_000001.png,labels/train/nlb_spring_000001.txt,1,5,0,24,103515.0,"[""environment:station"", ""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""time_of_day:day"", ""track_layout:curve"", ""weather:sunny""]"
nlb_spring_000037,37,0,train,usable,,images/nlb_spring_000037.png,annotations/nlb_spring_000037.json,masks/nlb_spring_000037.png,all_tracks,images/train/nlb_spring_000037.png,labels/train/nlb_spring_000037.txt,1,4,0,20,102076.0,"[""environment:station"", ""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""time_of_day:day"", ""track_layout:curve"", ""weather:sunny""]"
nlb_spring_000038,38,0,train,usable,,images/nlb_spring_000038.png,annotations/nlb_spring_000038.json,masks/nlb_spring_000038.png,all_tracks,images/train/nlb_spring_000038.png,labels/train/nlb_spring_000038.txt,1,5,1,28,102712.5,"[""environment:station"", ""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""time_of_day:day"", ""track_layout:curve"", ""weather:sunny""]"
nlb_spring_000039,39,0,train,usable,,images/nlb_spring_000039.png,annotations/nlb_spring_000039.json,masks/nlb_spring_000039.png,all_tracks,images/train/nlb_spring_000039.png,labels/train/nlb_spring_000039.txt,1,5,3,24,103565.5,"[""environment:station"", ""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""time_of_day:day"", ""track_layout:curve"", ""track_layout:straight"", ""weather:sunny""]"
nlb_spring_000040,40,0,train,usable,,images/nlb_spring_000040.png,annotations/nlb_spring_000040.json,masks/nlb_spring_000040.png,all_tracks,images/train/nlb_spring_000040.png,labels/train/nlb_spring_000040.txt,1,4,3,18,102584.5,"[""environment:station"", ""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""time_of_day:day"", ""track_layout:curve"", ""track_layout:straight"", ""weather:sunny""]"
nlb_spring_000041,41,0,train,usable,,images/nlb_spring_000041.png,annotations/nlb_spring_000041.json,masks/nlb_spring_000041.png,all_tracks,images/train/nlb_spring_000041.png,labels/train/nlb_spring_000041.txt,1,6,4,22,101025.5,"[""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""time_of_day:day"", ""track_layout:curve"", ""track_layout:straight"", ""weather:sunny""]"
nlb_spring_000042,42,0,train,usable,,images/nlb_spring_000042.png,annotations/nlb_spring_000042.json,masks/nlb_spring_000042.png,all_tracks,images/train/nlb_spring_000042.png,labels/train/nlb_spring_000042.txt,1,5,4,24,100487.0,"[""environment:urban"", ""light:auto_bright_dark"", ""light:hard shadows"", ""light:natural"", ""time_of_day:day"", ""track_layout:curve"", ""track_layout:straight"", ""weather:sunny""]"
nlb_spring_000043,43,0,train,usable,,images/nlb_spring_000043.png,annotations/nlb_spring_000043.json,masks/nlb_spring_000043.png,all_tracks,images/train/nlb_spring_000043.png,labels/train/nlb_spring_000043.txt,1,5,3,20,102025.0,"[""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:day"", ""track_layout:curve"", ""track_layout:straight"", ""weather:sunny""]"
nlb_spring_000044,44,0,train,usable,,images/nlb_spring_000044.png,annotations/nlb_spring_000044.json,masks/nlb_spring_000044.png,all_tracks,images/train/nlb_spring_000044.png,labels/train/nlb_spring_000044.txt,1,3,1,20,102638.0,"[""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:day"", ""track_layout:curve"", ""track_layout:parallel structures"", ""track_layout:straight"", ""weather:sunny""]"
nlb_spring_000045,45,0,train,usable,,images/nlb_spring_000045.png,annotations/nlb_spring_000045.json,masks/nlb_spring_000045.png,all_tracks,images/train/nlb_spring_000045.png,labels/train/nlb_spring_000045.txt,1,2,0,14,97726.5,"[""environment:urban"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:day"", ""track_layout:parallel structures"", ""track_layout:straight"", ""weather:sunny""]"
