season,stem,frame_id,temporal_block,split,status,exclude_reason,source_image,source_annotation,yolo_image,yolo_label,switch_count,usable_switch_count,classes
fall,nlb_fall_000039,39,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000039.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000039.json,images/train/fall__nlb_fall_000039.png,labels/train/fall__nlb_fall_000039.txt,0,0,[]
fall,nlb_fall_000040,40,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000040.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000040.json,images/train/fall__nlb_fall_000040.png,labels/train/fall__nlb_fall_000040.txt,0,0,[]
fall,nlb_fall_000041,41,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000041.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000041.json,images/train/fall__nlb_fall_000041.png,labels/train/fall__nlb_fall_000041.txt,4,3,"[""merge_left"", ""merge_unknown"", ""fork_unknown""]"
fall,nlb_fall_000042,42,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000042.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000042.json,images/train/fall__nlb_fall_000042.png,labels/train/fall__nlb_fall_000042.txt,3,3,"[""merge_left"", ""fork_unknown"", ""merge_right""]"
fall,nlb_fall_000043,43,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000043.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000043.json,images/train/fall__nlb_fall_000043.png,labels/train/fall__nlb_fall_000043.txt,4,4,"[""merge_left"", ""merge_right"", ""fork_left"", ""fork_unknown""]"
fall,nlb_fall_000044,44,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000044.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000044.json,images/train/fall__nlb_fall_000044.png,labels/train/fall__nlb_fall_000044.txt,1,1,"[""merge_right""]"
fall,nlb_fall_000045,45,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000045.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000045.json,images/train/fall__nlb_fall_000045.png,labels/train/fall__nlb_fall_000045.txt,0,0,[]
fall,nlb_fall_000046,46,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000046.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000046.json,images/train/fall__nlb_fall_000046.png,labels/train/fall__nlb_fall_000046.txt,0,0,[]
fall,nlb_fall_000047,47,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000047.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000047.json,images/train/fall__nlb_fall_000047.png,labels/train/fall__nlb_fall_000047.txt,0,0,[]
fall,nlb_fall_000048,48,0,train,usable,,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\images\nlb_fall_000048.png,E:\冰雪天气轨道图像采集\图像数据\L4R_NLB_fall\L4R_NLB_fall\annotations\nlb_fall_000048.json,images/train/fall__nlb_fall_000048.png,labels/train/fall__nlb_fall_000048.txt,0,0,[]
