stem,frame_id,temporal_block,split,status,exclude_reason,source_image_path,source_annotation_path,source_mask_path,source_mask_scope,yolo_image_path,yolo_label_path,ego_track_count,total_track_count,switch_count,polygon_points,polygon_area_px,tags
nlb_winter_000001,1,0,train,usable,,images/nlb_winter_000001.png,annotations/nlb_winter_000001.json,masks/nlb_winter_000001.png,all_tracks,images/train/nlb_winter_000001.png,labels/train/nlb_winter_000001.txt,1,3,0,24,103370.5,"[""environment:station"", ""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""weather:cloudy"", ""weather:snow""]"
nlb_winter_000037,37,0,train,usable,,images/nlb_winter_000037.png,annotations/nlb_winter_000037.json,masks/nlb_winter_000037.png,all_tracks,images/train/nlb_winter_000037.png,labels/train/nlb_winter_000037.txt,1,4,1,20,102569.5,"[""environment:station"", ""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""weather:cloudy"", ""weather:snow""]"
nlb_winter_000038,38,0,train,usable,,images/nlb_winter_000038.png,annotations/nlb_winter_000038.json,masks/nlb_winter_000038.png,all_tracks,images/train/nlb_winter_000038.png,labels/train/nlb_winter_000038.txt,1,4,1,14,102565.5,"[""environment:station"", ""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""weather:cloudy"", ""weather:snow""]"
nlb_winter_000039,39,0,train,usable,,images/nlb_winter_000039.png,annotations/nlb_winter_000039.json,masks/nlb_winter_000039.png,all_tracks,images/train/nlb_winter_000039.png,labels/train/nlb_winter_000039.txt,1,4,1,15,103045.0,"[""environment:station"", ""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""weather:cloudy"", ""weather:snow""]"
nlb_winter_000040,40,0,train,usable,,images/nlb_winter_000040.png,annotations/nlb_winter_000040.json,masks/nlb_winter_000040.png,all_tracks,images/train/nlb_winter_000040.png,labels/train/nlb_winter_000040.txt,1,5,1,22,101392.0,"[""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""track_layout:straight"", ""weather:cloudy"", ""weather:snow""]"
nlb_winter_000041,41,0,train,usable,,images/nlb_winter_000041.png,annotations/nlb_winter_000041.json,masks/nlb_winter_000041.png,all_tracks,images/train/nlb_winter_000041.png,labels/train/nlb_winter_000041.txt,1,4,3,21,102071.0,"[""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""track_layout:straight"", ""weather:cloudy"", ""weather:snow""]"
nlb_winter_000042,42,0,train,usable,,images/nlb_winter_000042.png,annotations/nlb_winter_000042.json,masks/nlb_winter_000042.png,all_tracks,images/train/nlb_winter_000042.png,labels/train/nlb_winter_000042.txt,1,4,4,25,100585.0,"[""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""track_layout:straight"", ""weather:cloudy"", ""weather:rainy"", ""weather:snow""]"
nlb_winter_000043,43,0,train,usable,,images/nlb_winter_000043.png,annotations/nlb_winter_000043.json,masks/nlb_winter_000043.png,all_tracks,images/train/nlb_winter_000043.png,labels/train/nlb_winter_000043.txt,1,5,4,27,101971.5,"[""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""track_layout:straight"", ""weather:cloudy"", ""weather:snow""]"
nlb_winter_000044,44,0,train,usable,,images/nlb_winter_000044.png,annotations/nlb_winter_000044.json,masks/nlb_winter_000044.png,all_tracks,images/train/nlb_winter_000044.png,labels/train/nlb_winter_000044.txt,1,3,1,23,102770.0,"[""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:curve"", ""track_layout:parallel structures"", ""track_layout:straight"", ""weather:cloudy"", ""weather:rainy"", ""weather:snow""]"
nlb_winter_000045,45,0,train,usable,,images/nlb_winter_000045.png,annotations/nlb_winter_000045.json,masks/nlb_winter_000045.png,all_tracks,images/train/nlb_winter_000045.png,labels/train/nlb_winter_000045.txt,1,2,0,14,98582.5,"[""environment:urban"", ""light:artificial"", ""light:auto_bright_dark"", ""light:dark"", ""light:natural"", ""light:uniform"", ""time_of_day:twilight"", ""track_layout:straight"", ""weather:cloudy"", ""weather:rainy"", ""weather:snow""]"
