image_path,annotation_path,sequence_id,frame_id,split,camera_height_m,person_count,bicycle_count,scenario_hint,rail_annotation_status,exclude_reason,left_rail_points,right_rail_points
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000225.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000225.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,225,train,2.45,1,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000675.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000675.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,675,train,2.45,2,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00001125.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00001125.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,1125,train,2.45,1,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00001575.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00001575.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,1575,train,2.45,2,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002025.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002025.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,2025,train,2.45,2,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002475.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002475.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,2475,train,2.45,1,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002925.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002925.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,2925,train,2.45,3,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00003375.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00003375.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,3375,train,2.45,4,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00000300.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00000300.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,300,train,2.45,3,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00000915.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00000915.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,915,train,2.45,5,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00001545.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00001545.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,1545,train,2.45,5,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00002160.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00002160.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,2160,train,2.45,6,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00002775.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00002775.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,2775,train,2.45,6,0,normal,pending,,,
imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00003390.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00003390.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,3390,train,2.45,5,0,normal,pending,,,
